Prap	DpleGene	MsexGene
PIERAPT00000033182	DPOGS203226,DPOGS203227	Msex2.00410
PIERAPT00000013854	DPOGS205217	Msex2.09818,Msex2.14077
PIERAPT00000000568	DPOGS206008,DPOGS210528	Msex2.04807
PIERAPT00000032543	DPOGS210753	Msex2.09341,Msex2.12014
PIERAPT00000024920	DPOGS212111	Msex2.04324
PIERAPT00000031733	DPOGS212111	Msex2.04324
PIERAPT00000026695	DPOGS212712	Msex2.10649,Msex2.12839
PIERAPT00000001796	DPOGS213690	Msex2.08355
PIERAPT00000019608	DPOGS213690	Msex2.08355
PIERAPT00000018616	DPOGS214629	Msex2.11004
PIERAPT00000026870	DPOGS214629	Msex2.11004
PIERAPT00000005840	DPOGS215997	Msex2.09488,Msex2.12667
PIERAPT00000024461	DPOGS216023	Msex2.06157,Msex2.06169
PIERAPT00000013545	DPOGS216068	Msex2.01669
PIERAPT00000024254	DPOGS216068	Msex2.01669
PIERAPT00000002731	DPOGS201741	Msex2.06509
PIERAPT00000027908	DPOGS201741	Msex2.06509
PIERAPT00000014299	DPOGS201877	Msex2.06895
PIERAPT00000018662	DPOGS201877	Msex2.06895
PIERAPT00000022098	DPOGS204627	Msex2.04156
PIERAPT00000030429	DPOGS204627	Msex2.04156
PIERAPT00000026549	DPOGS205446	Msex2.03524
PIERAPT00000026834	DPOGS205446	Msex2.03524
PIERAPT00000022250	DPOGS206267,DPOGS206268	Msex2.08058
PIERAPT00000000952	DPOGS208312	Msex2.11863
PIERAPT00000033741	DPOGS208312	Msex2.11863
PIERAPT00000020079	DPOGS209635	Msex2.12018
PIERAPT00000027777	DPOGS209635	Msex2.12018
PIERAPT00000035138	DPOGS213142	Msex2.08807,Msex2.14226
PIERAPT00000000476	DPOGS214935	Msex2.12566
PIERAPT00000019588	DPOGS214935	Msex2.12566
PIERAPT00000027336	DPOGS200451	Msex2.08152
PIERAPT00000029262	DPOGS200451	Msex2.08152
PIERAPT00000026404	DPOGS200945	Msex2.13231,Msex2.14447
PIERAPT00000023633	DPOGS203884	Msex2.13959,Msex2.14573
PIERAPT00000015000	DPOGS206614,DPOGS206615	Msex2.00531
PIERAPT00000007533	DPOGS209109	Msex2.11911
PIERAPT00000031634	DPOGS209109	Msex2.11911
PIERAPT00000001880	DPOGS209319	Msex2.06259
PIERAPT00000024353	DPOGS209319	Msex2.06259
PIERAPT00000016021	DPOGS214934	Msex2.12564
PIERAPT00000028309	DPOGS214934	Msex2.12564
PIERAPT00000021018	DPOGS215011	Msex2.13056
PIERAPT00000022120	DPOGS215011	Msex2.13056
PIERAPT00000009370	DPOGS215726	Msex2.00921
PIERAPT00000016223	DPOGS215726	Msex2.00921
PIERAPT00000003317	DPOGS200343	Msex2.05346
PIERAPT00000026990	DPOGS200343	Msex2.05346
PIERAPT00000007662	DPOGS202385	Msex2.09226
PIERAPT00000018148	DPOGS202385	Msex2.09226
PIERAPT00000013842	DPOGS203095	Msex2.01964
PIERAPT00000022154	DPOGS203095	Msex2.01964
PIERAPT00000000248	DPOGS205048	Msex2.05005
PIERAPT00000031756	DPOGS205048	Msex2.05005
PIERAPT00000003985	DPOGS207485	Msex2.13132
PIERAPT00000035310	DPOGS207485	Msex2.13132
PIERAPT00000023863	DPOGS212250,DPOGS212251	Msex2.04039
PIERAPT00000008269	DPOGS214367,DPOGS214368	Msex2.07614
PIERAPT00000000229	DPOGS201608	Msex2.08431
PIERAPT00000004148	DPOGS201608	Msex2.08431
PIERAPT00000022316	DPOGS203700	Msex2.00199
PIERAPT00000034898	DPOGS203700	Msex2.00199
PIERAPT00000028880	DPOGS206459	Msex2.01904
PIERAPT00000034404	DPOGS206459	Msex2.01904
PIERAPT00000029303	DPOGS211519	Msex2.10779
PIERAPT00000033662	DPOGS211519	Msex2.10779
PIERAPT00000011942	DPOGS213409,DPOGS212680	Msex2.04724
PIERAPT00000022448	DPOGS214233	Msex2.03196
PIERAPT00000024458	DPOGS214233	Msex2.03196
PIERAPT00000022956	DPOGS201196	Msex2.04757
